GEO_ID,NAME,B19013_001E
1600000US0174352,"Sylacauga city, Alabama",50017
1600000US0174400,"Sylvania town, Alabama",56161
1600000US0174424,"Sylvan Springs town, Alabama",81927
1600000US0174592,"Talladega city, Alabama",44198
1600000US0174616,"Talladega Springs town, Alabama",73125
1600000US0174688,"Tallassee city, Alabama",66752
1600000US0174976,"Tarrant city, Alabama",42070
1600000US0175096,"Taylor city, Alabama",67464
1600000US0175768,"Theodore CDP, Alabama",67864
1600000US0175936,"Thomaston town, Alabama",58125
1600000US0175960,"Thomasville city, Alabama",42671
1600000US0176080,"Thorsby city, Alabama",76389
1600000US0176200,"Tibbie CDP, Alabama",-666666666
1600000US0176208,"Tidmore Bend CDP, Alabama",60729
1600000US0176320,"Tillmans Corner CDP, Alabama",60837
1600000US0176584,"Town Creek town, Alabama",43229
1600000US0176632,"Toxey town, Alabama",62857
1600000US0176680,"Trafford town, Alabama",23333
1600000US0176824,"Triana city, Alabama",110100
1600000US0176872,"Trinity city, Alabama",100929
1600000US0176920,"Troy city, Alabama",50717
1600000US0176944,"Trussville city, Alabama",123275
1600000US0177256,"Tuscaloosa city, Alabama",51464
1600000US0177280,"Tuscumbia city, Alabama",59143
1600000US0177304,"Tuskegee city, Alabama",38000
1600000US0177352,"Twin town, Alabama",52639
1600000US0177580,"Underwood-Petersville CDP, Alabama",48219
1600000US0177616,"Union town, Alabama",-666666666
1600000US0177784,"Union Grove town, Alabama",50694
1600000US0177880,"Union Springs city, Alabama",26250
1600000US0177904,"Uniontown city, Alabama",33750
1600000US0178120,"Uriah CDP, Alabama",126563
1600000US0178204,"Valley city, Alabama",51661
1600000US0178232,"Valley Grande city, Alabama",58929
1600000US0178240,"Valley Head town, Alabama",45889
1600000US0178264,"Vance city, Alabama",94545
1600000US0178312,"Vandiver CDP, Alabama",49783
1600000US0178480,"Vernon town, Alabama",27967
1600000US0178552,"Vestavia Hills city, Alabama",134369
1600000US0178984,"Vina town, Alabama",44167
1600000US0179008,"Vincent town, Alabama",52813
1600000US0179032,"Vinegar Bend CDP, Alabama",13787
1600000US0179272,"Vredenburgh town, Alabama",35750
1600000US0179344,"Wadley town, Alabama",-666666666
1600000US0179488,"Waldo town, Alabama",29000
1600000US0179728,"Walnut Grove town, Alabama",40089
1600000US0179944,"Warrior city, Alabama",57557
